"Dataset name (if none, username)",Usability,Potential mirrors (preferably no permission required)
DEAP,Medium (need permission),http://www.eecs.qmul.ac.uk/mmv/datasets/deap/
GAMEEMO,High,https://www.kaggle.com/sigfest/database-for-emotion-recognition-system-gameemo
INTERFACES,High (can get raw data easily),https://github.com/IoBT-VISTEC/EEG-Emotion-Recognition-INTERFACES-datasets
JeongKwonHo,High (use google translate though),https://github.com/JeongKwonHo/EEG_Emotion_Classfication
Imagined Emotion,High,https://headit.ucsd.edu/studies/3316f70e-35ff-11e3-a2a9-0050563f2612
,,
Brainwave,Low (full feature extraction without us knowing what he did),https://www.kaggle.com/birdy654/eeg-brainwave-dataset-feeling-emotions
Mental Attention,Low (full feature extraction without us knowing what he did),https://www.kaggle.com/inancigdem/eeg-data-for-mental-attention-state-detection
HeyyyyyyG,Low (0 idea),https://github.com/HeyyyyyyG/Multi-souce-Separation-and-Alignment-Network-for-EEG-Emotion-Classification
robi56,"Low (Not sure, but I think it's raw data)",https://github.com/robi56/emotion_classification/tree/master/Data
lazycatchen,Medium (I think raw data?),https://github.com/lazycatchen/EEG-Signals-Distinguishing-Different-Emotions-Evoked-by-Music
Enterface'06,Medium?,http://www.enterface.net/results/
NeuroMarketing,Medium (idk where sampling rate is),https://drive.google.com/file/d/0B2T1rQUvyyWcSGVVaHZBZzRtTms/view?resourcekey=0-wuVvZnp9Ub89GMoErrxSrQ
,,
,,
SEED,High,http://bcmi.sjtu.edu.cn/~seed/seed.html
SEED IV,High,https://bcmi.sjtu.edu.cn/~seed/seed-iv.html
SEED VIG,High,https://bcmi.sjtu.edu.cn/~seed/seed-vig.html
HCI-Tagging,"Low (idk, also need permission)",https://mahnob-db.eu/hci-tagging/
Regulation of Arousal,Low,https://ieee-dataport.org/open-access/regulation-arousal-online-neurofeedback-improves-human-performance-demanding-sensory#files
AMIGOS,Medium (need permission),http://www.eecs.qmul.ac.uk/mmv/datasets/amigos/download.html
,,
Confusion,Medium (only 1 channel of EEG),https://www.kaggle.com/wanghaohan/confused-eeg
One person's concentration,Medium (scientific validity questionable),https://www.kaggle.com/dqmonn/personal-eeg-tasks
